Iterations,5 Threads,10 Threads,20 Threads,35 Threads,50 Threads,100 Threads,200 Threads
1000,0.782,0.5,0.342,0.33,0.31,0.306,0.31
2000,1.491,0.878,0.6,0.51,0.53,0.522,0.51
3000,2.217,1.29,0.838,0.781,0.742,0.691,0.7
4000,2.817,1.664,1.067,0.94,0.929,0.916,0.895
5000,3.515,2.058,1.321,1.173,1.111,1.123,1.099
6000,4.166,2.48,1.601,1.364,1.322,1.291,1.275
7000,4.833,2.841,1.797,1.589,1.538,1.501,1.482
8000,5.502,3.213,2.083,1.833,1.772,1.689,1.677
9000,6.184,3.656,2.341,2.081,2.001,1.92,1.89
10000,6.809,4.033,2.544,2.249,2.189,2.099,2.067
11000,7.551,4.421,2.758,2.543,2.431,2.296,2.26
12000,8.182,4.776,3.071,2.72,2.618,2.499,2.46
13000,8.965,5.276,3.329,2.986,3.094,2.747,2.835
14000,9.657,5.74,3.692,3.159,3.145,2.919,2.893
15000,10.194,5.942,3.813,3.313,3.247,3.087,3.053
16000,10.877,6.502,4.158,3.674,3.548,3.332,3.309
17000,11.646,6.883,4.189,3.771,3.696,3.447,3.436
18000,12.264,7.238,4.547,4.011,3.916,3.67,3.676
19000,12.931,7.557,4.918,4.272,4.092,3.85,3.884
20000,13.634,8.086,5.054,4.486,4.314,4.077,4.05
